zcta,total_pop,under18,over65,median_age
81435,5876.0,1171.0,1208.0,41.7
81501,24011.0,2662.0,6139.0,36.2
81503,16558.0,3654.0,4430.0,38.7
81504,32376.0,8085.0,7126.0,36.6
81505,13279.0,2663.0,3306.0,41.2
81506,11412.0,1758.0,4722.0,51.9
81507,15947.0,3389.0,6310.0,50.5
81520,12892.0,2826.0,3120.0,38.4
81521,16613.0,4305.0,4405.0,43.2
81522,0.0,0.0,0.0,
81523,983.0,90.0,616.0,65.5
81524,2760.0,843.0,569.0,36.4
81525,1127.0,244.0,254.0,44.9
81526,5559.0,928.0,2206.0,51.7
81527,1462.0,85.0,530.0,54.2
81601,16844.0,3799.0,3975.0,39.1
81610,635.0,263.0,98.0,33.4
81611,9068.0,1103.0,2288.0,44.3
81612,0.0,0.0,0.0,
81615,2972.0,379.0,1380.0,59.0
81620,10870.0,1567.0,1561.0,37.4
81621,6550.0,1175.0,1668.0,42.2
81623,15067.0,2662.0,4264.0,44.6
81624,1492.0,295.0,435.0,45.2
81625,12307.0,2904.0,2908.0,40.6
81630,1058.0,248.0,311.0,43.4
81631,8958.0,2147.0,2333.0,41.8
81632,10965.0,2276.0,2181.0,40.2
81633,0.0,0.0,0.0,
81635,7486.0,2036.0,1822.0,33.4
81637,10744.0,3337.0,1600.0,33.6
81638,69.0,0.0,62.0,72.7
81639,2618.0,498.0,706.0,40.5
81640,209.0,30.0,46.0,37.2
81641,3621.0,841.0,985.0,39.3
81642,15.0,6.0,9.0,
81643,1133.0,338.0,291.0,37.9
81645,1028.0,239.0,187.0,38.5
81646,115.0,25.0,44.0,43.3
81647,6882.0,1804.0,1380.0,35.0
81648,2796.0,691.0,643.0,37.2
81649,345.0,76.0,71.0,46.0
81650,14083.0,4103.0,2093.0,32.6
81652,6271.0,1667.0,1159.0,39.8
81653,0.0,0.0,0.0,
81654,1431.0,230.0,530.0,50.3
81655,227.0,78.0,39.0,37.6
81656,459.0,142.0,158.0,52.5
81657,4835.0,385.0,1553.0,49.4
82063,62.0,0.0,49.0,63.5
82082,1891.0,408.0,724.0,52.7
